f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,label
839.9824,444.60687,19.982277,19.512596,27.929068,2.425796,949.7166,949.7166,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,839.4824,444.10687,0.0,0.0,pass
0.0,0.0,-31.406744,-38.25986,49.4995,-21.21407,0.70710677,0.70710677,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,pass
0.0,0.0,-18.249365,-19.885351,26.99012,-11.567196,0.70710677,0.70710677,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,pass
0.0,0.0,-69.59134,-32.370945,76.75176,-32.893612,0.70710677,0.70710677,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,pass
1.0,1.0,-158.25882,-78.33838,176.5864,44.327835,0.70710677,0.70710677,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,pass
0.0,0.0,-42.00786,-48.026173,63.805748,-26.740587,0.70710677,0.70710677,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,pass
832.4546,375.07938,7.7555776,1.7500455,7.950575,-2.776187,912.3914,912.3914,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,831.9546,374.57938,0.0,0.0,pass
836.42786,373.7782,4.797244,0.50146544,4.8233824,-1.3560585,915.48456,915.48456,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,835.92786,373.2782,0.0,0.0,pass
0.0,0.0,-59.76357,-26.879698,65.53016,-28.084354,0.70710677,0.70710677,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,pass
0.0,0.0,-12.697033,-6.8731256,14.437954,-6.1876945,0.70710677,0.70710677,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,pass
0.0,0.0,-28.897423,-19.518326,34.871563,-14.944956,0.70710677,0.70710677,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,pass
653.6992,258.36847,32.371178,12.702738,34.77431,-15.727136,702.2573,702.2573,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,653.1992,257.86847,0.0,0.0,pass
500.2638,240.74281,-4.1458144,-0.6078949,4.1901445,-0.13369542,554.5092,554.5092,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,499.7638,240.24281,0.0,0.0,pass
467.89362,235.45901,-2.8408136,-0.555411,2.894599,-0.15935339,523.1276,523.1276,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,467.39362,234.95901,0.0,0.0,pass
0.0,0.0,-31.768782,-16.548601,35.82055,-15.351663,0.70710677,0.70710677,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,pass
411.3855,378.24207,97.67478,89.24557,132.30698,82.4144,558.13617,558.13617,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,410.8855,377.74207,0.0,0.0,pass
0.0,0.0,-59.120193,-53.06976,79.44556,-34.048096,0.70710677,0.70710677,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,pass
0.0,0.0,-23.806316,-8.996424,25.449486,-10.906924,0.70710677,0.70710677,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,pass
0.0,0.0,-34.340908,-26.820713,43.573486,-18.674353,0.70710677,0.70710677,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,pass
792.19507,607.8582,-0.095865406,4.146191,4.1472993,-2.5980208,997.8302,997.8302,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,791.69507,607.3582,0.0,0.0,pass
496.24506,629.41956,-3.2979758,1.2575624,3.5296044,0.08695705,800.81396,800.81396,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,495.74506,628.91956,0.0,0.0,pass
604.33136,450.50836,-0.11267016,-0.04587515,0.12165153,-0.019206852,753.0736,753.0736,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,603.83136,450.00836,0.0,0.0,pass
0.0,0.0,-43.53606,-32.480038,54.317043,-23.278734,0.70710677,0.70710677,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,pass
0.0,0.0,-194.78012,-66.95105,205.9654,-87.72639,0.70710677,0.70710677,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,pass
117.83928,228.51552,-4.278766,24.78566,25.152273,-10.800185,256.4363,256.4363,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,117.33928,228.01552,0.0,0.0,pass
587.78455,431.45557,1.660247,1.4825906,2.2258694,-0.89330643,728.4407,728.4407,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,587.28455,430.95557,0.0,0.0,pass
638.0981,592.5355,1.2882711,4.0465446,4.246665,-1.8297824,870.0789,870.0789,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,637.5981,592.0355,0.0,0.0,pass
0.0,0.0,-44.711147,-37.1902,58.156666,-24.924284,0.70710677,0.70710677,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,pass
457.5642,494.48907,-2.775612,20.006975,20.198591,-10.376589,673.00287,673.00287,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,457.0642,493.98907,0.0,0.0,pass
774.01605,463.26373,43.578087,18.53395,47.35564,-10.658159,901.37524,901.37524,999.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,773.51605,462.76373,0.0,0.0,pass
