t,ball_x,ball_y,holder_id,holder_team,reward,team0_r,team1_r
86282,607.6563415527344,166.1818618774414,51189,1,0.0,0.0,0.01
86284,616.0580749511719,166.1940155029297,51189,1,0.0,0.0,0.01
86286,619.9392700195312,165.93952178955078,51189,1,0.0,0.0,0.01
86288,623.7034606933594,165.89056396484375,51189,1,0.0,0.0,0.01
86290,629.9776611328125,165.4750747680664,51189,1,0.0,0.0,0.01
86291,629.9776611328125,165.47506713867188,51189,1,0.0,0.0,0.01
86293,633.4424133300781,165.70076751708984,51189,1,0.0,0.0,0.01
86295,637.9047241210938,165.2203140258789,51189,1,0.0,0.0,0.01
86477,637.8142700195312,178.86136627197266,51189,1,0.0,0.0,0.01
86479,627.6562194824219,177.31817626953125,51189,1,0.0,0.0,0.01
86481,619.5516357421875,176.9043197631836,51189,1,0.0,0.0,0.01
86482,619.5847778320312,176.9033432006836,51189,1,0.0,0.0,0.01
86484,603.7471923828125,175.58251190185547,51189,1,0.0,0.0,0.01
86485,603.7465209960938,175.5832748413086,51189,1,0.0,0.0,0.01
86486,603.7462158203125,175.58370971679688,51189,1,0.0,0.0,0.01
86488,591.4795837402344,174.31362915039062,51189,1,0.0,0.0,0.01
86489,591.4794006347656,174.3136978149414,51189,1,0.0,0.0,0.01
86491,575.5282287597656,172.56534576416016,51189,1,0.0,0.0,0.01
86492,575.52490234375,172.5739974975586,51189,1,0.0,0.0,0.01
86494,566.9776000976562,172.1880340576172,51189,1,0.0,0.0,0.01
86496,560.7693481445312,171.60003662109375,51189,1,0.0,0.0,0.01
86498,554.8278198242188,170.43347930908203,51189,1,0.0,0.0,0.01
86500,544.7853393554688,170.14044952392578,51189,1,0.0,0.0,0.01
86501,544.7834167480469,170.1407241821289,51189,1,0.0,0.0,0.01
86503,537.283447265625,169.28649139404297,51189,1,0.0,0.0,0.01
86505,531.9407653808594,168.17729949951172,51189,1,0.0,0.0,0.01
86507,526.3549194335938,167.80731201171875,51189,1,0.0,0.0,0.01
86508,531.6909790039062,165.56805419921875,51189,1,0.0,0.0,0.01
86509,531.6618347167969,165.26383209228516,51189,1,0.0,0.0,0.01
86510,531.647705078125,165.1676254272461,51189,1,0.0,0.0,0.01
86511,531.6453247070312,165.1605224609375,51189,1,0.0,0.0,0.01
86513,549.2622985839844,160.86619567871094,51189,1,0.0,0.0,0.01
86514,549.2622680664062,160.8661117553711,51189,1,0.0,0.0,0.01
86515,549.2623596191406,160.86568450927734,51189,1,0.0,0.0,0.01
86516,549.2568054199219,160.8646240234375,51189,1,0.0,0.0,0.01
86518,580.8797607421875,158.6705322265625,51189,1,0.0,0.0,0.01
86519,580.8887023925781,158.6714324951172,51189,1,0.0,0.0,0.01
86520,580.8888854980469,158.66552734375,51189,1,0.0,0.0,0.01
86521,580.883056640625,158.67263793945312,51189,1,0.0,0.0,0.01
86522,580.8826293945312,158.67574310302734,51189,1,0.0,0.0,0.01
86524,599.7915649414062,161.61683654785156,51189,1,0.0,0.0,0.01
86526,610.1663513183594,164.54952239990234,51189,1,0.0,0.0,0.01
86528,617.5134887695312,166.1249542236328,51189,1,0.0,0.0,0.01
86529,617.5133361816406,166.1245346069336,51189,1,0.0,0.0,0.01
86530,617.5130004882812,166.12451934814453,51189,1,0.0,0.0,0.01
86532,629.3056945800781,163.44944763183594,51189,1,0.0,0.0,0.01
86534,638.0604248046875,161.9103012084961,51189,1,0.0,0.0,0.01
86801,638.2237548828125,172.65477752685547,51189,1,0.0,0.0,0.01
86805,608.04931640625,170.7862777709961,51189,1,0.0,0.0,0.01
86808,592.2675170898438,171.55062103271484,51189,1,0.0,0.0,0.01
86811,573.2420043945312,173.89086151123047,51189,1,0.0,0.0,0.01
86814,557.6318664550781,172.67035675048828,51189,1,0.0,0.0,0.01
86816,548.3268737792969,172.662353515625,51189,1,0.0,0.0,0.01
86819,534.5454711914062,172.30211639404297,51189,1,0.0,0.0,0.01
86821,524.3570556640625,171.54713439941406,51189,1,0.0,0.0,0.01
86825,508.2571105957031,170.96112060546875,51189,1,0.0,0.0,0.01
