player_id,touches
52965,4
53158,1
53197,180
53209,165
53298,2
53410,6
53508,1
53547,8
53698,1
53743,3
53784,2
53892,5
54056,1
54264,113
54602,2
55215,3
55364,102
56129,5
56175,2
56563,2
56566,26
56620,1
56637,1
56951,1
56955,1
56962,2
56996,1
57057,1
57059,1
57141,1
57172,1
57178,2
57264,1
57287,1
57306,3
57469,25
57537,1
57800,5
57832,2
57844,8
57873,3
57927,1
57931,1
57980,1
57996,14
58002,6
58035,3
58067,13
58119,6
58185,1
58216,2
58284,2
58446,16
58466,4
58468,1
58482,1
58509,1
58515,2
58548,16
58551,1
58554,1
58557,5
58571,1
58596,1
58648,1
58649,5
58676,6
58688,1
58703,2
58719,1
58760,2
58797,10
58798,1
58807,1
58820,2
58831,2
58893,1
58924,2
58948,2
58967,1
59209,3
59269,1
59289,2
59540,1
59590,1
59937,10
59974,1
59983,8
59999,1
60009,2
60034,1
60054,2
60056,1
60058,1
60066,1
60333,2
60437,1
60518,1
60542,3
60560,1
60573,1
60577,1
60583,1
60621,9
60623,2
60645,7
60846,12
60913,3
60959,2
61030,3
61034,2
61048,1
61050,1
61054,1
61075,2
61079,2
61248,1
61256,2
61257,5
61299,1
61314,7
61327,1
61344,1
61396,1
61454,1
61576,7
61639,9
61641,1
61651,1
61674,2
61711,9
61734,2
61738,11
61789,1
61902,1
61966,5
62010,1
62018,1
62024,1
62060,2
62085,17
62139,8
62213,2
62260,4
62321,6
62360,1
62376,1
62379,4
62452,1
62458,6
62478,1
62485,2
62509,6
62529,8
62632,8
62638,2
62666,1
62689,3
62697,1
62741,4
62756,1
62770,1
62774,1
62782,4
62786,1
62830,1
62848,2
62849,1
62918,1
62945,1
62954,1
62955,1
62964,1
63128,1
63138,1
63172,3
63212,14
63221,1
63226,1
63261,1
63271,3
63275,1
63350,1
63463,1
63472,4
63530,1
63550,1
63570,1
63576,4
63577,1
63580,1
63624,1
63652,7
63654,1
63656,1
63711,1
63716,8
63748,1
63789,1
63796,1
63810,1
63847,1
63854,5
63953,2
64048,1
64115,1
64116,1
64198,3
64233,4
64367,1
64384,1
64396,1
64420,28
64471,11
64529,3
64678,2
64683,1
64727,2
64773,2
64828,1
64833,2
64878,1
64899,2
64909,2
64921,1
